Month,Passenger ID,Passenger Group,Test group,Trips
July,800000,Medium,Loyalty,6
July,800001,Low,Control,0
July,800002,Medium,Loyalty,6
July,800003,Medium,Control,5
July,800004,Low,Loyalty,0
July,800005,Medium,Control,6
July,800006,Medium,Loyalty,4
July,800007,Medium,Control,4
July,800008,Medium,Loyalty,6
July,800009,Medium,Control,4
July,800010,High,Loyalty,11
July,800011,Low,Control,1
July,800012,Medium,Loyalty,4
July,800013,Low,Control,2
July,800014,Medium,Loyalty,6
July,800015,Medium,Control,6
July,800016,Medium,Loyalty,4
July,800017,Medium,Control,4
July,800018,Low,Loyalty,2
July,800019,Medium,Control,5
July,800020,High,Loyalty,14
July,800021,Medium,Control,5
July,800022,Low,Loyalty,0
July,800023,Low,Control,3
July,800024,Medium,Loyalty,6
July,800025,Low,Control,1
July,800026,Low,Loyalty,1
July,800027,Medium,Control,4
July,800028,Medium,Loyalty,4
July,800029,Low,Control,3
July,800030,Low,Loyalty,2
July,800031,Medium,Control,5
July,800032,Low,Loyalty,1
July,800033,Low,Control,3
July,800034,Low,Loyalty,3
July,800035,Medium,Control,6
July,800036,High,Loyalty,10
July,800037,High,Control,14
July,800038,Medium,Loyalty,5
July,800039,Medium,Control,6
July,800040,Medium,Loyalty,5
July,800041,Medium,Control,6
July,800042,Low,Loyalty,2
July,800043,Medium,Control,5
July,800044,Medium,Loyalty,4
July,800045,Medium,Control,5
July,800046,Low,Loyalty,2
July,800047,Medium,Control,6
July,800048,Medium,Loyalty,6
July,800049,High,Control,14
July,800050,Medium,Loyalty,4
July,800051,High,Control,14
July,800052,Medium,Loyalty,5
July,800053,Medium,Control,5
July,800054,Medium,Loyalty,6
July,800055,Medium,Control,6
July,800056,Medium,Loyalty,4
July,800057,Medium,Control,6
July,800058,Low,Loyalty,0
July,800059,Medium,Control,4
July,800060,Low,Loyalty,3
July,800061,Low,Control,2
July,800062,Medium,Loyalty,4
July,800063,Low,Control,0
July,800064,Medium,Loyalty,6
July,800065,Low,Control,3
July,800066,Low,Loyalty,2
July,800067,Low,Control,0
July,800068,Low,Loyalty,1
July,800069,Medium,Control,4
July,800070,Medium,Loyalty,6
July,800071,Medium,Control,4
July,800072,Medium,Loyalty,4
July,800073,Medium,Control,6
July,800074,Low,Loyalty,0
July,800075,Low,Control,2
July,800076,Low,Loyalty,1
July,800077,Low,Control,2
July,800078,High,Loyalty,12
July,800079,Low,Control,0
July,800080,Medium,Loyalty,4
July,800081,Medium,Control,4
July,800082,Low,Loyalty,3
July,800083,Medium,Control,5
July,800084,Low,Loyalty,0
July,800085,High,Control,8
July,800086,Low,Loyalty,1
July,800087,Medium,Control,5
July,800088,Medium,Loyalty,6
July,800089,Medium,Control,5
July,800090,Medium,Loyalty,5
July,800091,Low,Control,1
July,800092,Low,Loyalty,3
July,800093,Low,Control,0
July,800094,Medium,Loyalty,4
July,800095,Low,Control,1
July,800096,Low,Loyalty,0
July,800097,Medium,Control,4
July,800098,Medium,Loyalty,6
July,800099,Medium,Control,5
July,800100,Low,Loyalty,1
July,800101,Low,Control,2
July,800102,Medium,Loyalty,4
July,800103,Low,Control,2
July,800104,Low,Loyalty,2
July,800105,Low,Control,2
July,800106,Medium,Loyalty,6
July,800107,Low,Control,1
July,800108,Medium,Loyalty,6
July,800109,High,Control,7
July,800110,Medium,Loyalty,5
July,800111,Low,Control,1
July,800112,Low,Loyalty,3
July,800113,Low,Control,0
July,800114,Low,Loyalty,2
July,800115,Medium,Control,5
July,800116,High,Loyalty,7
July,800117,High,Control,9
July,800118,Low,Loyalty,1
July,800119,Low,Control,0
July,800120,Low,Loyalty,3
July,800121,Medium,Control,4
July,800122,High,Loyalty,9
July,800123,Medium,Control,5
July,800124,Low,Loyalty,2
July,800125,Medium,Control,6
July,800126,Medium,Loyalty,6
July,800127,Medium,Control,6
July,800128,Low,Loyalty,1
July,800129,Medium,Control,4
July,800130,Medium,Loyalty,4
July,800131,Medium,Control,5
July,800132,Low,Loyalty,3
July,800133,High,Control,7
July,800134,Medium,Loyalty,5
July,800135,High,Control,10
July,800136,Medium,Loyalty,6
July,800137,High,Control,9
July,800138,Low,Loyalty,1
July,800139,Low,Control,2
July,800140,Low,Loyalty,1
July,800141,Medium,Control,5
July,800142,Low,Loyalty,1
July,800143,High,Control,10
July,800144,Low,Loyalty,2
July,800145,Low,Control,2
July,800146,Medium,Loyalty,4
July,800147,Low,Control,1
July,800148,High,Loyalty,12
July,800149,Medium,Control,6
July,800150,High,Loyalty,10
July,800151,Medium,Control,4
July,800152,Low,Loyalty,3
July,800153,Medium,Control,4
